# source: results/v1,v2,v3,v4/raw.jsonl sha256=f17c97dd404efc7876f0f8d59e28b8087514a0e56b1b4d76b10599d75fe05f3d
model,subgroup,contrast,question,p1,p2,diff,odds_ratio,p,p_holm
qwen/qwen3-235b-a22b-2507,distant,exit_schema-note_schema,RQ2,0.32894736842105265,0.31140350877192985,0.017543859649122806,1.08346051342794,0.6880523183601261,1.0
qwen/qwen3-235b-a22b-2507,distant,exit_prose-none,RQ3,0.47368421052631576,0.47368421052631576,0.0,1.0,1.0,1.0
qwen/qwen3-235b-a22b-2507,distant,exit_prose-filler_prose,RQ3,0.47368421052631576,0.5526315789473685,-0.07894736842105271,0.7295852262476834,0.09171136951626702,0.5502682170976021
qwen/qwen3-235b-a22b-2507,distant,exit_prose-exit_schema,RQ3,0.47368421052631576,0.32894736842105265,0.1447368421052631,1.8306449396828888,0.0016174042669248045,0.012939234135398436
x-ai/grok-4.6,adjacent,exit_schema-note_schema,RQ2,0.5526315789473685,0.36666666666666664,0.18596491228070183,2.1177332681973615,0.010579352020281041,0.06347611212168625
x-ai/grok-4.6,adjacent,exit_prose-none,RQ3,0.6916666666666667,0.35833333333333334,0.3333333333333333,3.9670498084291186,2.3353733236142205e-07,1.6347613265299543e-06
x-ai/grok-4.6,adjacent,exit_prose-filler_prose,RQ3,0.6916666666666667,0.325,0.36666666666666664,4.594261603375528,1.337805866086228e-08,1.0702446928689824e-07
x-ai/grok-4.6,adjacent,exit_prose-exit_schema,RQ3,0.6916666666666667,0.5526315789473685,0.13903508771929818,1.8075294117647058,0.04847558381805972,0.2423779190902986
x-ai/grok-4.6,distant,exit_schema-note_schema,RQ2,0.48295454545454547,0.42916666666666664,0.05378787878787883,1.2413875029698267,0.2761330865954841,1.0
x-ai/grok-4.6,distant,exit_prose-none,RQ3,0.44583333333333336,0.43333333333333335,0.012500000000000011,1.051825170689748,0.7826381432761669,1.0
x-ai/grok-4.6,distant,exit_prose-filler_prose,RQ3,0.44583333333333336,0.43333333333333335,0.012500000000000011,1.051825170689748,0.7826381432761669,1.0
x-ai/grok-4.6,distant,exit_prose-exit_schema,RQ3,0.44583333333333336,0.48295454545454547,-0.03712121212121211,0.8617517576713318,0.4530519896969887,1.0
