# T24_four_category_v1 | generated 2026-08-16T20:43:09Z | sources derived/cd_conf_classified.parquet sha256=47047c347c1db422 + derived/llama4_stage2_classified.parquet sha256=4b41e1d822ebe8f5 + derived/stage2_classified.parquet sha256=6a3353080dafb189 + derived/stage2b_classified.parquet sha256=3398d8e6234f8082 + config/stimuli_cd.yaml | THE one sanctioned cross-stage read (declared in §10 before C/D collection); stage allowlist enforced in code; pooled rows valid only alongside category rows; stage-1 data never enters
model,category,condition,source_stage,n,k_refusal,refusal_prop,wilson_lo,wilson_hi,k_code_c,k_exits,completion_median,n_compliant,grade,row_kind
gpt5_mini,ABCD_pooled,exit_schema,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
gpt5_mini,ABCD_pooled,exit_prose,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
gpt5_mini,ABCD_pooled,exit_both,join,192,1,0.0052,0.0009,0.0289,0,0,,,pooled - read only with the category rows above,pooled
llama4_maverick,A,none,llama4_stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
llama4_maverick,A,time_schema,llama4_stage2,60,6,0.1,0.0466,0.2015,5,0,1.0,54.0,n=60,category
llama4_maverick,A,note_schema,llama4_stage2,59,2,0.0339,0.0093,0.1154,2,0,1.0,57.0,n=59,category
llama4_maverick,A,exit_schema,llama4_stage2,60,1,0.0167,0.0029,0.0886,1,46,1.0,13.0,n=60,category
llama4_maverick,A,exit_prose,llama4_stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
llama4_maverick,A,exit_both,llama4_stage2,60,0,0.0,0.0,0.0602,0,18,1.0,42.0,n=60,category
llama4_maverick,B,none,llama4_stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
llama4_maverick,B,time_schema,llama4_stage2,60,44,0.7333,0.6099,0.8287,44,0,1.0,16.0,n=60,category
llama4_maverick,B,note_schema,llama4_stage2,59,22,0.3729,0.2608,0.5005,22,0,1.0,37.0,n=59,category
llama4_maverick,B,exit_schema,llama4_stage2,60,4,0.0667,0.0262,0.1593,4,46,1.0,10.0,n=60,category
llama4_maverick,B,exit_prose,llama4_stage2,60,0,0.0,0.0,0.0602,0,0,1.0,60.0,n=60,category
llama4_maverick,B,exit_both,llama4_stage2,60,1,0.0167,0.0029,0.0886,1,43,1.0,16.0,n=60,category
llama4_maverick,C,none,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
llama4_maverick,C,time_schema,cd_conf,36,17,0.4722,0.3199,0.6299,17,0,1.0,19.0,n=36,category
llama4_maverick,C,note_schema,cd_conf,36,2,0.0556,0.0154,0.1814,2,0,1.0,34.0,n=36,category
llama4_maverick,C,exit_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,36,,0.0,n=36,category
llama4_maverick,C,exit_prose,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
llama4_maverick,C,exit_both,cd_conf,36,0,0.0,-0.0,0.0964,0,31,1.0,5.0,n=36,category
llama4_maverick,D,none,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
llama4_maverick,D,time_schema,cd_conf,36,3,0.0833,0.0287,0.2183,3,0,1.0,33.0,n=36,category
llama4_maverick,D,note_schema,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
llama4_maverick,D,exit_schema,cd_conf,35,1,0.0286,0.0051,0.1453,1,20,1.0,14.0,n=35,category
llama4_maverick,D,exit_prose,cd_conf,36,0,0.0,-0.0,0.0964,0,0,1.0,36.0,n=36,category
llama4_maverick,D,exit_both,cd_conf,36,0,0.0,-0.0,0.0964,0,14,1.0,22.0,n=36,category
llama4_maverick,ABCD_pooled,none,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
llama4_maverick,ABCD_pooled,time_schema,join,192,70,0.3646,0.2998,0.4347,69,0,,,pooled - read only with the category rows above,pooled
llama4_maverick,ABCD_pooled,note_schema,join,190,26,0.1368,0.0951,0.193,26,0,,,pooled - read only with the category rows above,pooled
llama4_maverick,ABCD_pooled,exit_schema,join,191,6,0.0314,0.0145,0.0668,6,148,,,pooled - read only with the category rows above,pooled
llama4_maverick,ABCD_pooled,exit_prose,join,192,0,0.0,0.0,0.0196,0,0,,,pooled - read only with the category rows above,pooled
